as_of_date,industry,holding_count,total_market_value_usd,portfolio_weight_usd,avg_ownership_pct,avg_voting_pct
2017-12-31,Basic Materials,664,41403620678.000000,0.059617,1.240750,1.208153
2017-12-31,Consumer Goods,1221,93557029288.000000,0.134712,1.122997,1.094832
2017-12-31,Consumer Services,1207,69943522920.000000,0.100711,1.122811,1.073013
2017-12-31,Financials,1828,169108581398.000000,0.243498,1.121187,1.095696
2017-12-31,Health Care,684,67753297631.000000,0.097557,1.074318,1.029653
2017-12-31,Industrials,1986,99009693841.000000,0.142563,1.270222,1.241839
2017-12-31,Oil & Gas,346,38691368150.000000,0.055711,1.117037,1.108741
2017-12-31,Technology,777,77337337221.000000,0.111357,1.208771,1.192217
2017-12-31,Telecommunications,138,19644390960.000000,0.028286,1.003539,0.983617
2017-12-31,Utilities,255,18047446393.000000,0.025986,0.996220,0.950204
2018-12-31,Basic Materials,658,31330264062.000000,0.049517,1.240942,1.224970
2018-12-31,Consumer Goods,1215,75499787228.000000,0.119327,1.117531,1.096527
2018-12-31,Consumer Services,1204,68102355456.000000,0.107636,1.157965,1.118488
2018-12-31,Financials,1859,150026579257.000000,0.237117,1.161641,1.139726
2018-12-31,Health Care,723,72391320733.000000,0.114414,1.100802,1.072476
2018-12-31,Industrials,1966,81851272687.000000,0.129366,1.260921,1.235905
2018-12-31,Oil & Gas,341,37042385236.000000,0.058545,1.062287,1.049531
2018-12-31,Technology,809,79665842087.000000,0.125912,1.212781,1.188158
2018-12-31,Telecommunications,130,18863695500.000000,0.029814,0.990462,0.965923
2018-12-31,Utilities,252,17938598724.000000,0.028352,0.933730,0.891270
2019-12-31,Basic Materials,665,36143115468.000000,0.044401,1.188045,1.171805
2019-12-31,Consumer Goods,1201,93625001178.000000,0.115017,1.121740,1.096578
2019-12-31,Consumer Services,1193,86904166358.000000,0.106761,1.164962,1.131341
2019-12-31,Financials,1882,192099861794.000000,0.235992,1.215085,1.199463
2019-12-31,Health Care,749,92027312458.000000,0.113054,1.135701,1.108852
2019-12-31,Industrials,1943,108908415452.000000,0.133792,1.287977,1.259717
2019-12-31,Oil & Gas,311,40680672764.000000,0.049976,1.076077,1.063666
2019-12-31,Technology,862,118366344443.000000,0.145411,1.183875,1.151821
2019-12-31,Telecommunications,138,22120001939.000000,0.027174,1.086884,1.055652
2019-12-31,Utilities,258,23135199520.000000,0.028421,0.932287,0.888217
2020-12-31,Basic Materials,634,41287842558.000000,0.044341,1.159211,1.143123
2020-12-31,Consumer Goods,1151,111423712887.000000,0.119664,1.076855,1.045760
2020-12-31,Consumer Services,1158,106349270005.000000,0.114214,1.059335,1.025164
2020-12-31,Financials,1894,188866407802.000000,0.202833,1.209609,1.191536
2020-12-31,Health Care,856,108350088040.000000,0.116363,1.044778,1.018166
2020-12-31,Industrials,1915,128096810337.000000,0.137570,1.246971,1.218632
2020-12-31,Oil & Gas,225,27636369918.000000,0.029680,0.983911,0.970844
2020-12-31,Technology,909,172097205496.000000,0.184824,1.102618,1.070539
2020-12-31,Telecommunications,136,22473256381.000000,0.024135,1.084559,1.044412
2020-12-31,Utilities,245,24560320124.000000,0.026377,0.876041,0.845347
2021-12-31,Basic Materials,679,44241127365.000000,0.043846,0.972990,0.955184
2021-12-31,Consumer Discretionary,1636,146556780800.000000,0.145247,0.903881,0.874505
2021-12-31,Consumer Staples,595,60319642918.000000,0.059780,0.879345,0.847479
2021-12-31,Energy,208,37600287781.000000,0.037264,0.909808,0.907740
2021-12-31,Financials,1166,144645065977.000000,0.143352,0.962882,0.943456
2021-12-31,Health Care,943,114876671451.000000,0.113850,0.883192,0.858187
2021-12-31,Industrials,1766,134944417650.000000,0.133738,1.040193,1.012072
2021-12-31,Real Estate,693,63346276513.000000,0.062780,1.279971,1.272165
2021-12-31,Technology,1107,206677255125.000000,0.204829,0.948799,0.924896
2021-12-31,Telecommunications,260,31964601037.000000,0.031679,0.924769,0.896269
2021-12-31,Utilities,285,23848930036.000000,0.023636,0.775930,0.756491
2022-12-31,Basic Materials,722,38661340278.000000,0.044389,1.020055,0.998837
2022-12-31,Consumer Discretionary,1625,116715157674.000000,0.134007,0.970123,0.936905
2022-12-31,Consumer Staples,586,57719475959.000000,0.066271,0.927304,0.893191
2022-12-31,Energy,213,38348863416.000000,0.044031,0.901690,0.891455
2022-12-31,Financials,1110,138991212672.000000,0.159584,1.023892,0.999919
2022-12-31,Health Care,898,112027042947.000000,0.128625,1.011058,0.982728
2022-12-31,Industrials,1746,115736652143.000000,0.132884,1.112549,1.081249
2022-12-31,Real Estate,682,48473562724.000000,0.055655,1.330748,1.320777
2022-12-31,Technology,1121,153829640783.000000,0.176621,1.049447,1.021276
2022-12-31,Telecommunications,246,26895798678.000000,0.030881,1.005528,0.971992
2022-12-31,Utilities,279,23562523421.000000,0.027053,0.867025,0.852581
2023-12-31,Basic Materials,657,43909541709.000000,0.039900,1.046149,1.021279
2023-12-31,Consumer Discretionary,1539,155271478926.000000,0.141092,1.001598,0.964613
2023-12-31,Consumer Staples,578,61463229438.000000,0.055851,0.920779,0.903287
2023-12-31,Energy,220,41058704248.000000,0.037309,0.926500,0.917136
2023-12-31,Financials,1074,164533681343.000000,0.149509,1.060987,1.038603
2023-12-31,Health Care,841,122350225814.000000,0.111178,0.989144,0.961617
2023-12-31,Industrials,1720,143901079208.000000,0.130760,1.109488,1.082895
2023-12-31,Real Estate,645,60504186632.000000,0.054979,1.321101,1.308698
2023-12-31,Technology,1083,245074415242.000000,0.222695,1.095328,1.052872
2023-12-31,Telecommunications,227,36569993943.000000,0.033231,1.010485,0.992996
2023-12-31,Utilities,275,25857879755.000000,0.023497,0.893564,0.878327
2024-06-30,Basic Materials,647,42861984585.000000,0.035390,1.038161,1.012519
2024-06-30,Consumer Discretionary,1518,163898773073.000000,0.135328,0.989269,0.950665
2024-06-30,Consumer Staples,572,61277878148.000000,0.050596,0.911451,0.893794
2024-06-30,Energy,216,43529138716.000000,0.035941,0.878333,0.870648
2024-06-30,Financials,1072,180148871728.000000,0.148745,1.042873,1.028134
2024-06-30,Health Care,827,133231936429.000000,0.110007,0.960121,0.933495
2024-06-30,Industrials,1739,152190763018.000000,0.125661,1.077763,1.049977
2024-06-30,Real Estate,637,60066684119.000000,0.049596,1.296170,1.286860
2024-06-30,Technology,1050,309384647602.000000,0.255452,1.092714,1.047962
2024-06-30,Telecommunications,214,36520374926.000000,0.030154,0.968224,0.943785
2024-06-30,Utilities,271,28013878662.000000,0.023130,0.857601,0.847749
2024-12-31,Basic Materials,628,39521759400.000000,0.030736,1.050924,1.019283
2024-12-31,Consumer Discretionary,1472,183400008738.000000,0.142630,1.000781,0.964844
2024-12-31,Consumer Staples,572,59309363538.000000,0.046125,0.921241,0.903986
2024-12-31,Energy,211,40401420663.000000,0.031420,0.911848,0.900284
2024-12-31,Financials,1062,197686814418.000000,0.153741,1.057156,1.041497
2024-12-31,Health Care,812,126313700993.000000,0.098234,0.942463,0.913842
2024-12-31,Industrials,1735,162667017609.000000,0.126506,1.108697,1.080559
2024-12-31,Real Estate,634,62811616191.000000,0.048849,1.304416,1.296309
2024-12-31,Technology,1055,347235729038.000000,0.270045,1.063204,1.013185
2024-12-31,Telecommunications,210,36805564927.000000,0.028624,0.901762,0.876762
2024-12-31,Utilities,268,29690044568.000000,0.023090,0.908619,0.893582
2025-06-30,Basic Materials,613,42573072149.000000,0.030674,1.020930,0.980522
2025-06-30,Consumer Discretionary,1429,189147731898.000000,0.136281,0.991812,0.961505
2025-06-30,Consumer Staples,559,61029989574.000000,0.043972,0.877764,0.862773
2025-06-30,Energy,198,39869570700.000000,0.028726,0.824848,0.808434
2025-06-30,Financials,1066,232057896710.000000,0.167198,1.030356,1.015319
2025-06-30,Health Care,767,126094154938.000000,0.090851,0.947040,0.922138
2025-06-30,Industrials,1672,181945791153.000000,0.131092,1.058792,1.030054
2025-06-30,Real Estate,601,64984792495.000000,0.046822,1.305175,1.294276
2025-06-30,Technology,1007,376093487523.000000,0.270975,1.049305,1.006495
2025-06-30,Telecommunications,208,40141924524.000000,0.028922,0.898798,0.872644
2025-06-30,Utilities,254,33986212757.000000,0.024487,0.861575,0.853425
2025-12-31,Basic Materials,557,51022401693.000000,0.033897,1.108582,1.082639
2025-12-31,Consumer Discretionary,1208,198921988450.000000,0.132154,1.112508,1.068874
2025-12-31,Consumer Staples,470,57743582981.000000,0.038362,0.960553,0.950489
2025-12-31,Energy,172,42406724401.000000,0.028173,0.927209,0.904186
2025-12-31,Financials,958,253592209658.000000,0.168474,1.057839,1.039405
2025-12-31,Health Care,669,139516303759.000000,0.092688,1.027818,1.000837
2025-12-31,Industrials,1397,190665287217.000000,0.126669,1.149392,1.117967
2025-12-31,Real Estate,508,63483893546.000000,0.042176,1.511004,1.498957
2025-12-31,Technology,850,427983102269.000000,0.284331,1.121059,1.069588
2025-12-31,Telecommunications,180,44012389209.000000,0.029240,0.903167,0.858333
2025-12-31,Utilities,232,35881157574.000000,0.023838,0.906121,0.905129
