strategy_key,strategy_name,rebalance_id,trade_date,next_rebalance_trade_date,evaluation_end_date,period_return,included_count,positions_bought_count,positions_sold_count
p1,P1 New Positions Mirror,P1-R001,2019-08-07,2020-05-18,2020-05-15,-0.182115869018,1,1,0
p1,P1 New Positions Mirror,P1-R002,2020-05-18,2020-08-17,2020-08-14,0.115361525529,23,23,1
p1,P1 New Positions Mirror,P1-R003,2020-08-17,2020-11-17,2020-11-16,0.107188050412,4,4,23
p1,P1 New Positions Mirror,P1-R004,2020-11-17,2021-05-18,2021-05-17,-0.060329067642,1,1,4
p1,P1 New Positions Mirror,P1-R005,2021-05-18,2022-10-12,2022-10-11,-0.357972290540,11,11,1
p1,P1 New Positions Mirror,P1-R006,2022-10-12,2022-11-15,2022-11-14,0.222725418032,1,1,11
p1,P1 New Positions Mirror,P1-R007,2022-11-15,2022-12-23,2022-12-22,-0.193869362863,1,1,1
p1,P1 New Positions Mirror,P1-R008,2022-12-23,2023-02-15,2023-02-14,0.164922508820,49,49,1
p1,P1 New Positions Mirror,P1-R009,2023-02-15,2023-05-16,2023-05-15,-0.918544776120,1,1,49
p1,P1 New Positions Mirror,P1-R010,2023-05-16,2023-11-15,2023-11-14,0.244657214929,3,3,1
p1,P1 New Positions Mirror,P1-R011,2023-11-15,2024-02-15,2024-02-14,0.042307207172,2,2,3
p1,P1 New Positions Mirror,P1-R012,2024-02-15,2024-05-16,2024-05-15,-0.023652832980,1,1,2
p1,P1 New Positions Mirror,P1-R013,2024-05-16,2024-10-01,2024-09-30,0.165670367198,1,1,1
p1,P1 New Positions Mirror,P1-R014,2024-10-01,2024-11-15,2024-11-14,0.142332415060,1,1,1
p1,P1 New Positions Mirror,P1-R015,2024-11-15,2025-02-18,2025-02-14,0.265743605732,25,25,1
p1,P1 New Positions Mirror,P1-R016,2025-02-18,2025-05-16,2025-05-15,-0.070151389349,1,1,25
p1,P1 New Positions Mirror,P1-R017,2025-05-16,2025-08-15,2025-08-14,0.738312636960,2,2,1
p1,P1 New Positions Mirror,P1-R018,2025-08-15,2025-11-17,2025-11-14,0.138349581107,1,1,2
p2,P2 Full Sleeve Equal Weight,P2EW-R001,2019-02-14,2019-05-14,2019-05-13,-0.252691057822,1,1,0
p2,P2 Full Sleeve Equal Weight,P2EW-R002,2019-05-14,2019-08-07,2019-08-06,-0.006715166527,1,1,1
p2,P2 Full Sleeve Equal Weight,P2EW-R003,2019-08-07,2019-10-22,2019-10-21,-0.061395348815,2,2,1
p2,P2 Full Sleeve Equal Weight,P2EW-R004,2019-10-22,2020-02-05,2020-02-04,1.327608510623,2,2,2
p2,P2 Full Sleeve Equal Weight,P2EW-R005,2020-02-05,2020-05-18,2020-05-15,-0.015076320869,2,2,2
p2,P2 Full Sleeve Equal Weight,P2EW-R006,2020-05-18,2020-08-17,2020-08-14,0.106055985065,24,24,2
p2,P2 Full Sleeve Equal Weight,P2EW-R007,2020-08-17,2020-11-17,2020-11-16,0.161671970943,13,13,24
p2,P2 Full Sleeve Equal Weight,P2EW-R008,2020-11-17,2021-05-18,2021-05-17,0.202768922290,7,7,13
p2,P2 Full Sleeve Equal Weight,P2EW-R009,2021-05-18,2021-08-17,2021-08-16,-0.074831457643,11,11,7
p2,P2 Full Sleeve Equal Weight,P2EW-R010,2021-08-17,2022-10-12,2022-10-11,-0.323475975633,11,11,11
p2,P2 Full Sleeve Equal Weight,P2EW-R011,2022-10-12,2022-11-15,2022-11-14,0.222725418033,1,1,11
p2,P2 Full Sleeve Equal Weight,P2EW-R012,2022-11-15,2022-12-23,2022-12-22,-0.090228280180,49,49,1
p2,P2 Full Sleeve Equal Weight,P2EW-R013,2022-12-23,2023-02-15,2023-02-14,0.163121311447,49,49,49
p2,P2 Full Sleeve Equal Weight,P2EW-R014,2023-02-15,2023-05-16,2023-05-15,-0.054062740122,48,48,49
p2,P2 Full Sleeve Equal Weight,P2EW-R015,2023-05-16,2023-08-15,2023-08-14,0.090489285760,48,48,48
p2,P2 Full Sleeve Equal Weight,P2EW-R016,2023-08-15,2023-11-15,2023-11-14,-0.023705571218,47,47,48
p2,P2 Full Sleeve Equal Weight,P2EW-R017,2023-11-15,2024-02-15,2024-02-14,0.052482764507,49,49,47
p2,P2 Full Sleeve Equal Weight,P2EW-R018,2024-02-15,2024-05-16,2024-05-15,0.011928982237,48,48,49
p2,P2 Full Sleeve Equal Weight,P2EW-R019,2024-05-16,2024-10-01,2024-09-30,0.056862808525,25,25,48
p2,P2 Full Sleeve Equal Weight,P2EW-R020,2024-10-01,2024-11-15,2024-11-14,0.142332415060,1,1,25
p2,P2 Full Sleeve Equal Weight,P2EW-R021,2024-11-15,2025-02-18,2025-02-14,0.260471574601,26,26,1
p2,P2 Full Sleeve Equal Weight,P2EW-R022,2025-02-18,2025-05-16,2025-05-15,-0.051793625591,26,26,26
p2,P2 Full Sleeve Equal Weight,P2EW-R023,2025-05-16,2025-08-15,2025-08-14,0.152962528556,25,25,26
p2,P2 Full Sleeve Equal Weight,P2EW-R024,2025-08-15,2025-11-17,2025-11-14,0.069207129470,14,14,25
p2,P2 Full Sleeve Equal Weight,P2EW-R025,2025-11-17,2026-02-18,2026-02-17,-0.207060816398,5,5,14
p2,P2 Full Sleeve Equal Weight,P2EW-R026,2026-02-18,2026-05-18,2026-05-15,-0.190021211230,4,4,5
p3,P3 Accumulation Tilt,P3AT-R001,2019-02-14,2019-05-14,2019-05-13,-0.252691057822,1,1,0
p3,P3 Accumulation Tilt,P3AT-R002,2019-05-14,2019-08-07,2019-08-06,-0.006715166527,1,1,1
p3,P3 Accumulation Tilt,P3AT-R003,2019-08-07,2019-10-22,2019-10-21,-0.110535606179,2,2,1
p3,P3 Accumulation Tilt,P3AT-R004,2019-10-22,2020-02-05,2020-02-04,1.327608510623,2,2,2
p3,P3 Accumulation Tilt,P3AT-R005,2020-02-05,2020-05-18,2020-05-15,-0.117902743819,1,1,2
p3,P3 Accumulation Tilt,P3AT-R006,2020-05-18,2020-08-17,2020-08-14,0.110609760186,24,24,1
p3,P3 Accumulation Tilt,P3AT-R007,2020-08-17,2020-11-17,2020-11-16,0.174038957786,9,9,24
p3,P3 Accumulation Tilt,P3AT-R008,2020-11-17,2021-05-18,2021-05-17,0.169881673548,7,7,9
p3,P3 Accumulation Tilt,P3AT-R009,2021-05-18,2021-08-17,2021-08-16,-0.074831457643,11,11,7
p3,P3 Accumulation Tilt,P3AT-R010,2021-08-17,2022-10-12,2022-10-11,-0.323475975633,11,11,11
p3,P3 Accumulation Tilt,P3AT-R011,2022-10-12,2022-11-15,2022-11-14,0.222725418034,1,1,11
p3,P3 Accumulation Tilt,P3AT-R012,2022-11-15,2022-12-23,2022-12-22,-0.090830883956,49,49,1
p3,P3 Accumulation Tilt,P3AT-R013,2022-12-23,2023-02-15,2023-02-14,0.156605981533,48,48,49
p3,P3 Accumulation Tilt,P3AT-R014,2023-02-15,2023-05-16,2023-05-15,-0.072810260185,47,47,48
p3,P3 Accumulation Tilt,P3AT-R015,2023-05-16,2023-08-15,2023-08-14,0.085620317116,46,46,47
p3,P3 Accumulation Tilt,P3AT-R016,2023-08-15,2023-11-15,2023-11-14,-0.033624799242,46,46,46
p3,P3 Accumulation Tilt,P3AT-R017,2023-11-15,2024-02-15,2024-02-14,0.059359879487,48,48,46
p3,P3 Accumulation Tilt,P3AT-R018,2024-02-15,2024-05-16,2024-05-15,0.008707670085,47,47,48
p3,P3 Accumulation Tilt,P3AT-R019,2024-05-16,2024-10-01,2024-09-30,0.033709956765,21,21,47
p3,P3 Accumulation Tilt,P3AT-R020,2024-10-01,2024-11-15,2024-11-14,0.142332415060,1,1,21
p3,P3 Accumulation Tilt,P3AT-R021,2024-11-15,2025-02-18,2025-02-14,0.263055903591,26,26,1
p3,P3 Accumulation Tilt,P3AT-R022,2025-02-18,2025-05-16,2025-05-15,-0.060467243493,25,25,26
p3,P3 Accumulation Tilt,P3AT-R023,2025-05-16,2025-08-15,2025-08-14,0.227861091092,23,23,25
p3,P3 Accumulation Tilt,P3AT-R024,2025-08-15,2025-11-17,2025-11-14,-0.044803165591,6,6,23
p3,P3 Accumulation Tilt,P3AT-R025,2025-11-17,2026-02-18,2026-02-17,-0.211151248366,5,5,6
p3,P3 Accumulation Tilt,P3AT-R026,2026-02-18,2026-05-18,2026-05-15,-0.190021211230,4,4,5
p4,P4 Exit Avoidance,P4EA-R001,2019-02-14,2019-05-14,2019-05-13,-0.252691057822,1,1,0
p4,P4 Exit Avoidance,P4EA-R002,2019-05-14,2019-08-07,2019-08-06,-0.006715166527,1,1,1
p4,P4 Exit Avoidance,P4EA-R003,2019-08-07,2019-10-22,2019-10-21,-0.061395348815,2,2,1
p4,P4 Exit Avoidance,P4EA-R004,2019-10-22,2020-02-05,2020-02-04,1.327608510623,2,2,2
p4,P4 Exit Avoidance,P4EA-R005,2020-02-05,2020-05-18,2020-05-15,-0.117902743820,1,1,2
p4,P4 Exit Avoidance,P4EA-R006,2020-05-18,2020-08-17,2020-08-14,0.106055985066,24,24,1
p4,P4 Exit Avoidance,P4EA-R007,2020-08-17,2020-11-17,2020-11-16,0.201551643457,9,9,24
p4,P4 Exit Avoidance,P4EA-R008,2020-11-17,2021-05-18,2021-05-17,0.202768922290,7,7,9
p4,P4 Exit Avoidance,P4EA-R009,2021-05-18,2021-08-17,2021-08-16,-0.074831457643,11,11,7
p4,P4 Exit Avoidance,P4EA-R010,2021-08-17,2022-10-12,2022-10-11,-0.323475975633,11,11,11
p4,P4 Exit Avoidance,P4EA-R011,2022-10-12,2022-11-15,2022-11-14,0.222725418034,1,1,11
p4,P4 Exit Avoidance,P4EA-R012,2022-11-15,2022-12-23,2022-12-22,-0.090228280180,49,49,1
p4,P4 Exit Avoidance,P4EA-R013,2022-12-23,2023-02-15,2023-02-14,0.164089630630,48,48,49
p4,P4 Exit Avoidance,P4EA-R014,2023-02-15,2023-05-16,2023-05-15,-0.048944343464,47,47,48
p4,P4 Exit Avoidance,P4EA-R015,2023-05-16,2023-08-15,2023-08-14,0.091450934556,46,46,47
p4,P4 Exit Avoidance,P4EA-R016,2023-08-15,2023-11-15,2023-11-14,-0.025237870804,46,46,46
p4,P4 Exit Avoidance,P4EA-R017,2023-11-15,2024-02-15,2024-02-14,0.055152293078,48,48,46
p4,P4 Exit Avoidance,P4EA-R018,2024-02-15,2024-05-16,2024-05-15,0.010014315999,47,47,48
p4,P4 Exit Avoidance,P4EA-R019,2024-05-16,2024-10-01,2024-09-30,0.040070331717,21,21,47
p4,P4 Exit Avoidance,P4EA-R020,2024-10-01,2024-11-15,2024-11-14,0.142332415060,1,1,21
p4,P4 Exit Avoidance,P4EA-R021,2024-11-15,2025-02-18,2025-02-14,0.260471574601,26,26,1
p4,P4 Exit Avoidance,P4EA-R022,2025-02-18,2025-05-16,2025-05-15,-0.054557285278,25,25,26
p4,P4 Exit Avoidance,P4EA-R023,2025-05-16,2025-08-15,2025-08-14,0.151548717090,23,23,25
p4,P4 Exit Avoidance,P4EA-R024,2025-08-15,2025-11-17,2025-11-14,-0.075328623374,6,6,23
p4,P4 Exit Avoidance,P4EA-R025,2025-11-17,2026-02-18,2026-02-17,-0.207060816398,5,5,6
p4,P4 Exit Avoidance,P4EA-R026,2026-02-18,2026-05-18,2026-05-15,-0.190021211230,4,4,5
p5,P5 Cash-Aware Copy,P5CAC-R001,2019-02-14,2019-08-07,2019-08-06,-0.240379273855,0,1,0
p5,P5 Cash-Aware Copy,P5CAC-R002,2019-08-07,2020-02-05,2020-02-04,2.800274783710,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R003,2020-02-05,2020-05-18,2020-05-15,0.000415062347,0,0,1
p5,P5 Cash-Aware Copy,P5CAC-R004,2020-05-18,2020-08-17,2020-08-14,0.104894790048,0,23,1
p5,P5 Cash-Aware Copy,P5CAC-R005,2020-08-17,2020-11-17,2020-11-16,0.086813555922,0,8,19
p5,P5 Cash-Aware Copy,P5CAC-R006,2020-11-17,2021-05-18,2021-05-17,0.078711344634,0,1,7
p5,P5 Cash-Aware Copy,P5CAC-R007,2021-05-18,2022-10-12,2022-10-11,-0.545306178228,0,11,6
p5,P5 Cash-Aware Copy,P5CAC-R008,2022-10-12,2022-11-15,2022-11-14,0.222725418034,0,1,11
p5,P5 Cash-Aware Copy,P5CAC-R009,2022-11-15,2022-12-23,2022-12-22,-0.014734169313,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R010,2022-12-23,2023-02-15,2023-02-14,0.014180353127,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R011,2023-02-15,2023-05-16,2023-05-15,0.113213105261,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R012,2023-05-16,2023-08-15,2023-08-14,0.079562620538,0,3,1
p5,P5 Cash-Aware Copy,P5CAC-R013,2023-08-15,2023-11-15,2023-11-14,0.118085082604,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R014,2023-11-15,2024-02-15,2024-02-14,0.063920046861,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R015,2024-02-15,2024-05-16,2024-05-15,0.017708490444,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R016,2024-05-16,2024-10-01,2024-09-30,0.068670452321,0,0,0
p5,P5 Cash-Aware Copy,P5CAC-R017,2024-10-01,2024-11-15,2024-11-14,0.019583227568,0,1,3
p5,P5 Cash-Aware Copy,P5CAC-R018,2024-11-15,2025-02-18,2025-02-14,0.385609715792,0,25,0
p5,P5 Cash-Aware Copy,P5CAC-R019,2025-02-18,2025-05-16,2025-05-15,-0.148113809222,0,5,2
p5,P5 Cash-Aware Copy,P5CAC-R020,2025-05-16,2025-08-15,2025-08-14,-0.094173723854,0,6,5
p5,P5 Cash-Aware Copy,P5CAC-R021,2025-08-15,2025-11-17,2025-11-14,-0.154155562921,0,1,20
p5,P5 Cash-Aware Copy,P5CAC-R022,2025-11-17,2026-02-18,2026-02-17,-0.204434315325,0,1,10
