strategy_key,strategy_name,bucket,issuer_name,total_return_contribution
p1,P1 New Positions Mirror,top,CLARITEV CORPORATION,0.596175956499
p1,P1 New Positions Mirror,top,LINDE PLC,0.241332643279
p1,P1 New Positions Mirror,top,PDD HOLDINGS INC,0.212202556959
p1,P1 New Positions Mirror,top,NU HLDGS LTD,0.181263384439
p1,P1 New Positions Mirror,top,BEONE MEDICINES LTD,0.162185521568
p1,P1 New Positions Mirror,top,AMAZON COM INC,0.142075528670
p1,P1 New Positions Mirror,top,MULTIPLAN CORPORATION,0.060971268190
p1,P1 New Positions Mirror,top,SELECT SECTOR SPDR TR,0.059569889869
p1,P1 New Positions Mirror,top,BOOKING HOLDINGS INC,0.056042554842
p1,P1 New Positions Mirror,top,ERMENEGILDO ZEGNA N V,0.043122327407
p1,P1 New Positions Mirror,bottom,BABYLON HLDGS LTD,-1.663245523105
p1,P1 New Positions Mirror,bottom,SEA LTD,-0.173786540193
p1,P1 New Positions Mirror,bottom,CARNIVAL CORP,-0.076632373095
p1,P1 New Positions Mirror,bottom,COMPUTE HEALTH ACQUISITIN CO,-0.069929606181
p1,P1 New Positions Mirror,bottom,NOVAGOLD RES INC,-0.060916655760
p1,P1 New Positions Mirror,bottom,COUPANG INC,-0.040964881949
p1,P1 New Positions Mirror,bottom,DOORDASH INC,-0.030895458266
p1,P1 New Positions Mirror,bottom,TAKE-TWO INTERACTIVE SOFTWAR,-0.022044259099
p1,P1 New Positions Mirror,bottom,ELECTRONIC ARTS INC,-0.020459872767
p1,P1 New Positions Mirror,bottom,LIVE NATION ENTERTAINMENT IN,-0.005040041401
p2,P2 Full Sleeve Equal Weight,top,TESLA INC,0.752944295848
p2,P2 Full Sleeve Equal Weight,top,LINDE PLC,0.211806341087
p2,P2 Full Sleeve Equal Weight,top,AMAZON COM INC,0.159956819451
p2,P2 Full Sleeve Equal Weight,top,BLOOM ENERGY CORP,0.143320810463
p2,P2 Full Sleeve Equal Weight,top,SUNCOR ENERGY INC NEW,0.073765310926
p2,P2 Full Sleeve Equal Weight,top,META PLATFORMS INC,0.059633329330
p2,P2 Full Sleeve Equal Weight,top,AUTOMATIC DATA PROCESSING IN,0.058860274790
p2,P2 Full Sleeve Equal Weight,top,LIVE NATION ENTERTAINMENT IN,0.057186247026
p2,P2 Full Sleeve Equal Weight,top,SEA LTD,0.052165117542
p2,P2 Full Sleeve Equal Weight,top,SHOPIFY INC,0.040448890184
p2,P2 Full Sleeve Equal Weight,bottom,LUCID GROUP INC,-0.175159419405
p2,P2 Full Sleeve Equal Weight,bottom,CLARITEV CORPORATION,-0.146155767020
p2,P2 Full Sleeve Equal Weight,bottom,NOVAGOLD RES INC,-0.080451591957
p2,P2 Full Sleeve Equal Weight,bottom,SIGNA SPORTS UNITED NV,-0.059678932860
p2,P2 Full Sleeve Equal Weight,bottom,COMPUTE HEALTH ACQUISITIN CO,-0.059518739953
p2,P2 Full Sleeve Equal Weight,bottom,TAKE-TWO INTERACTIVE SOFTWAR,-0.049832255030
p2,P2 Full Sleeve Equal Weight,bottom,UBER TECHNOLOGIES INC,-0.037166992271
p2,P2 Full Sleeve Equal Weight,bottom,COUPANG INC,-0.036925994558
p2,P2 Full Sleeve Equal Weight,bottom,BABYLON HLDGS LTD,-0.035937242270
p2,P2 Full Sleeve Equal Weight,bottom,BALLARD PWR SYS INC NEW,-0.024284608105
p3,P3 Accumulation Tilt,top,TESLA INC,0.626824982095
p3,P3 Accumulation Tilt,top,LINDE PLC,0.219316706021
p3,P3 Accumulation Tilt,top,AMAZON COM INC,0.158853476611
p3,P3 Accumulation Tilt,top,BLOOM ENERGY CORP,0.070981823249
p3,P3 Accumulation Tilt,top,AUTOMATIC DATA PROCESSING IN,0.069269820473
p3,P3 Accumulation Tilt,top,LIVE NATION ENTERTAINMENT IN,0.066282439616
p3,P3 Accumulation Tilt,top,SUNCOR ENERGY INC NEW,0.061014860093
p3,P3 Accumulation Tilt,top,META PLATFORMS INC,0.044472250903
p3,P3 Accumulation Tilt,top,BEONE MEDICINES LTD,0.044324211858
p3,P3 Accumulation Tilt,top,SHOPIFY INC,0.041494780798
p3,P3 Accumulation Tilt,bottom,LUCID GROUP INC,-0.251893415159
p3,P3 Accumulation Tilt,bottom,CLARITEV CORPORATION,-0.126296066980
p3,P3 Accumulation Tilt,bottom,NOVAGOLD RES INC,-0.085312288983
p3,P3 Accumulation Tilt,bottom,COMPUTE HEALTH ACQUISITIN CO,-0.060842640401
p3,P3 Accumulation Tilt,bottom,SIGNA SPORTS UNITED NV,-0.058592315869
p3,P3 Accumulation Tilt,bottom,BABYLON HLDGS LTD,-0.057497000405
p3,P3 Accumulation Tilt,bottom,TAKE-TWO INTERACTIVE SOFTWAR,-0.044270732734
p3,P3 Accumulation Tilt,bottom,UBER TECHNOLOGIES INC,-0.041550952393
p3,P3 Accumulation Tilt,bottom,COUPANG INC,-0.037285760761
p3,P3 Accumulation Tilt,bottom,BALLARD PWR SYS INC NEW,-0.025359184028
p4,P4 Exit Avoidance,top,TESLA INC,0.643869997462
p4,P4 Exit Avoidance,top,LINDE PLC,0.220481406242
p4,P4 Exit Avoidance,top,AMAZON COM INC,0.160650454004
p4,P4 Exit Avoidance,top,SUNCOR ENERGY INC NEW,0.069744347183
p4,P4 Exit Avoidance,top,AUTOMATIC DATA PROCESSING IN,0.068081618023
p4,P4 Exit Avoidance,top,LIVE NATION ENTERTAINMENT IN,0.067882849060
p4,P4 Exit Avoidance,top,SEA LTD,0.055925444904
p4,P4 Exit Avoidance,top,SHOPIFY INC,0.044949414637
p4,P4 Exit Avoidance,top,BLOOM ENERGY CORP,0.042735479177
p4,P4 Exit Avoidance,top,META PLATFORMS INC,0.042451318712
p4,P4 Exit Avoidance,bottom,LUCID GROUP INC,-0.209116016309
p4,P4 Exit Avoidance,bottom,CLARITEV CORPORATION,-0.181576788314
p4,P4 Exit Avoidance,bottom,NOVAGOLD RES INC,-0.080691309361
p4,P4 Exit Avoidance,bottom,SIGNA SPORTS UNITED NV,-0.061156850439
p4,P4 Exit Avoidance,bottom,COMPUTE HEALTH ACQUISITIN CO,-0.059518739962
p4,P4 Exit Avoidance,bottom,TAKE-TWO INTERACTIVE SOFTWAR,-0.047692361172
p4,P4 Exit Avoidance,bottom,BABYLON HLDGS LTD,-0.037070016542
p4,P4 Exit Avoidance,bottom,COUPANG INC,-0.036636275318
p4,P4 Exit Avoidance,bottom,BALLARD PWR SYS INC NEW,-0.029560568245
p4,P4 Exit Avoidance,bottom,PLUG POWER INC,-0.019444009704
p5,P5 Cash-Aware Copy,top,TESLA INC,1.216862364572
p5,P5 Cash-Aware Copy,top,LINDE PLC,0.556401908971
p5,P5 Cash-Aware Copy,top,PDD HOLDINGS INC,0.147503694830
p5,P5 Cash-Aware Copy,top,SELECT SECTOR SPDR TR,0.055479820881
p5,P5 Cash-Aware Copy,top,LIVE NATION ENTERTAINMENT IN,0.040766418396
p5,P5 Cash-Aware Copy,top,AMAZON COM INC,0.036160196510
p5,P5 Cash-Aware Copy,top,BOEING CO,0.030466220071
p5,P5 Cash-Aware Copy,top,SUNCOR ENERGY INC NEW,0.026178669709
p5,P5 Cash-Aware Copy,top,BEONE MEDICINES LTD,0.023609932099
p5,P5 Cash-Aware Copy,top,FACEBOOK INC,0.020932554250
p5,P5 Cash-Aware Copy,bottom,LUCID GROUP INC,-0.493963486381
p5,P5 Cash-Aware Copy,bottom,MULTIPLAN CORPORATION,-0.407438523007
p5,P5 Cash-Aware Copy,bottom,UBER TECHNOLOGIES INC,-0.090708223500
p5,P5 Cash-Aware Copy,bottom,COMPUTE HEALTH ACQUISITIN CO,-0.081915384405
p5,P5 Cash-Aware Copy,bottom,NOVAGOLD RES INC,-0.020473018955
p5,P5 Cash-Aware Copy,bottom,TAKE-TWO INTERACTIVE SOFTWAR,-0.015086041995
p5,P5 Cash-Aware Copy,bottom,COUPANG INC,-0.002127327083
p5,P5 Cash-Aware Copy,bottom,CISCO SYS INC,-0.001864914405
p5,P5 Cash-Aware Copy,bottom,ROYAL DUTCH SHELL PLC,-0.001105574152
p5,P5 Cash-Aware Copy,bottom,CLARITEV CORPORATION,-0.001036321211
