period,prev_as_of_date,curr_as_of_date,public_date,trade_date,common_sector,weight_before,weight_after,net_weight_change,entry_count,exit_count,accumulation_count,reduction_count,raw_sector_count
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Financials,0.05739889,0.05019496,-0.00720393,0,0,1,1,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Health Care,0.00483096,0.00389185,-0.00093911,0,0,0,0,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Industrials,0.02421272,0.02293776,-0.00127496,1,0,0,1,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Materials,0.06350159,0.05590639,-0.00759520,1,1,1,0,4
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Real Estate,0.01595230,0.01375352,-0.00219878,0,0,0,0,2
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Technology,0.14020996,0.15027476,0.01006480,0,0,0,0,3
2022-12-31->2023-03-31,2022-12-31,2023-03-31,2023-05-15,2023-05-16,Utilities,0.09249508,0.07668970,-0.01580538,0,0,0,0,2
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Communication Services,0.27361983,0.27730626,0.00368643,0,0,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Consumer Discretionary,0.33494868,0.33358831,-0.00136037,0,0,2,0,5
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Consumer Staples,0.01778258,0.01752706,-0.00025552,0,0,0,0,1
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Financials,0.05019496,0.04623354,-0.00396142,0,0,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Health Care,0.00389185,0.00423303,0.00034118,0,1,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Industrials,0.02293776,0.02126919,-0.00166857,0,0,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Materials,0.05590639,0.05077295,-0.00513344,0,0,1,1,4
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Real Estate,0.01375352,0.01199769,-0.00175583,0,0,0,0,2
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Technology,0.15027476,0.16948079,0.01920603,0,0,0,0,3
2023-03-31->2023-06-30,2023-03-31,2023-06-30,2023-08-14,2023-08-15,Utilities,0.07668970,0.06759118,-0.00909852,0,0,0,0,2
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Communication Services,0.27730626,0.29747052,0.02016426,0,0,1,0,3
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Consumer Discretionary,0.33358831,0.30266845,-0.03091986,1,0,1,0,6
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Consumer Staples,0.01752706,0.01952034,0.00199328,0,0,0,0,1
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Financials,0.04623354,0.04649417,0.00026063,0,0,0,0,3
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Health Care,0.00423303,0.00410809,-0.00012494,0,0,1,0,2
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Industrials,0.02126919,0.01877374,-0.00249545,0,0,0,1,3
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Materials,0.05077295,0.05185254,0.00107959,0,0,0,0,4
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Real Estate,0.01199769,0.01208543,0.00008774,0,0,1,0,2
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Technology,0.16948079,0.18373103,0.01425024,1,1,0,0,3
2023-06-30->2023-09-30,2023-06-30,2023-09-30,2023-11-14,2023-11-15,Utilities,0.06759118,0.06329569,-0.00429549,0,0,0,0,2
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Communication Services,0.29747052,0.23657318,-0.06089734,0,1,0,0,3
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Consumer Discretionary,0.30266845,0.27662518,-0.02604327,1,1,1,0,6
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Consumer Staples,0.01952034,0.02295120,0.00343086,0,0,0,0,1
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Financials,0.04649417,0.05579319,0.00929902,0,0,0,0,3
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Health Care,0.00410809,0.00390795,-0.00020014,0,0,0,0,2
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Industrials,0.01877374,0.01796686,-0.00080688,0,1,0,1,3
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Materials,0.05185254,0.05648496,0.00463242,0,0,0,0,4
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Real Estate,0.01208543,0.01596238,0.00387695,0,0,0,0,2
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Technology,0.18373103,0.24347922,0.05974819,0,0,0,0,3
2023-09-30->2023-12-31,2023-09-30,2023-12-31,2024-02-14,2024-02-15,Utilities,0.06329569,0.07025586,0.00696017,0,0,0,0,2
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Communication Services,0.23657318,0.30778167,0.07120849,0,2,1,1,3
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Consumer Discretionary,0.27662518,0.24013739,-0.03648779,0,7,2,0,6
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Consumer Staples,0.02295120,0.00637287,-0.01657833,0,1,1,0,1
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Financials,0.05579319,0.02142698,-0.03436621,1,2,0,2,4
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Health Care,0.00390795,0.00539131,0.00148336,0,0,0,0,2
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Industrials,0.01796686,0.04279295,0.02482609,0,0,1,0,3
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Materials,0.05648496,0.05067401,-0.00581095,0,2,0,1,4
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Real Estate,0.01596238,0.00835415,-0.00760823,0,1,0,0,2
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Technology,0.24347922,0.31706868,0.07358946,0,7,0,0,3
2023-12-31->2024-03-31,2023-12-31,2024-03-31,2024-05-15,2024-05-16,Utilities,0.07025586,0.00000000,-0.07025586,0,2,0,0,2
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Communication Services,0.30778167,0.00000000,-0.30778167,0,4,0,0,2
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Consumer Discretionary,0.24013739,1.00000000,0.75986261,1,5,0,0,3
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Consumer Staples,0.00637287,0.00000000,-0.00637287,0,1,0,0,1
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Financials,0.02142698,0.00000000,-0.02142698,0,3,0,0,2
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Health Care,0.00539131,0.00000000,-0.00539131,0,2,0,0,2
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Industrials,0.04279295,0.00000000,-0.04279295,0,4,0,0,3
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Materials,0.05067401,0.00000000,-0.05067401,0,3,0,0,2
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Real Estate,0.00835415,0.00000000,-0.00835415,0,1,0,0,1
2024-03-31->2024-06-30,2024-03-31,2024-06-30,2024-09-30,2024-10-01,Technology,0.31706868,0.00000000,-0.31706868,0,2,0,0,1
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Communication Services,0.00000000,0.30403126,0.30403126,4,0,0,0,2
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Consumer Discretionary,1.00000000,0.27916613,-0.72083387,5,0,0,0,3
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Consumer Staples,0.00000000,0.00790809,0.00790809,1,0,0,0,1
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Financials,0.00000000,0.02105965,0.02105965,3,0,0,0,2
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Health Care,0.00000000,0.00459214,0.00459214,2,0,0,0,2
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Industrials,0.00000000,0.03670085,0.03670085,4,0,0,0,3
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Materials,0.00000000,0.04995507,0.04995507,3,0,0,0,2
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Real Estate,0.00000000,0.01007167,0.01007167,1,0,0,0,1
2024-06-30->2024-09-30,2024-06-30,2024-09-30,2024-11-14,2024-11-15,Technology,0.00000000,0.28651513,0.28651513,2,0,0,0,1
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Communication Services,0.30403126,0.32861521,0.02458395,0,0,0,0,2
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Consumer Discretionary,0.27916613,0.31403156,0.03486543,1,0,3,0,3
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Consumer Staples,0.00790809,0.00000000,-0.00790809,0,1,0,0,1
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Financials,0.02105965,0.02253130,0.00147165,0,0,1,1,2
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Health Care,0.00459214,0.00438522,-0.00020692,0,0,0,0,2
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Industrials,0.03670085,0.04133679,0.00463594,0,0,0,0,3
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Materials,0.04995507,0.04536977,-0.00458530,0,0,0,0,2
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Real Estate,0.01007167,0.00852318,-0.00154849,0,0,0,0,1
2024-09-30->2024-12-31,2024-09-30,2024-12-31,2025-02-14,2025-02-18,Technology,0.28651513,0.23520697,-0.05130816,0,0,0,0,1
2024-12-31->2025-03-31,2024-12-31,2025-03-31,2025-05-15,2025-05-16,Communication Services,0.32861521,0.33170065,0.00308544,0,0,0,2,2
2024-12-31->2025-03-31,2024-12-31,2025-03-31,2025-05-15,2025-05-16,Consumer Discretionary,0.31403156,0.26841112,-0.04562044,0,0,2,0,3
2024-12-31->2025-03-31,2024-12-31,2025-03-31,2025-05-15,2025-05-16,Financials,0.02253130,0.02158424,-0.00094706,0,0,0,0,2
2024-12-31->2025-03-31,2024-12-31,2025-03-31,2025-05-15,2025-05-16,Health Care,0.00438522,0.00630596,0.00192074,2,2,0,0,2
2024-12-31->2025-03-31,2024-12-31,2025-03-31,2025-05-15,2025-05-16,Industrials,0.04133679,0.03643159,-0.00490520,0,1,1,0,3
2024-12-31->2025-03-31,2024-12-31,2025-03-31,2025-05-15,2025-05-16,Materials,0.04536977,0.04819797,0.00282820,0,0,1,0,2
2024-12-31->2025-03-31,2024-12-31,2025-03-31,2025-05-15,2025-05-16,Real Estate,0.00852318,0.00890243,0.00037925,0,0,0,0,1
2024-12-31->2025-03-31,2024-12-31,2025-03-31,2025-05-15,2025-05-16,Technology,0.23520697,0.27846607,0.04325910,0,0,0,0,1
2025-03-31->2025-06-30,2025-03-31,2025-06-30,2025-08-14,2025-08-15,Communication Services,0.33170065,0.37204324,0.04034259,0,1,0,1,2
2025-03-31->2025-06-30,2025-03-31,2025-06-30,2025-08-14,2025-08-15,Consumer Discretionary,0.26841112,0.20714995,-0.06126117,0,5,0,1,3
2025-03-31->2025-06-30,2025-03-31,2025-06-30,2025-08-14,2025-08-15,Financials,0.02158424,0.00000000,-0.02158424,0,3,0,0,2
2025-03-31->2025-06-30,2025-03-31,2025-06-30,2025-08-14,2025-08-15,Health Care,0.00630596,0.00622603,-0.00007993,1,1,0,0,2
2025-03-31->2025-06-30,2025-03-31,2025-06-30,2025-08-14,2025-08-15,Industrials,0.03643159,0.02179322,-0.01463837,0,1,0,2,3
2025-03-31->2025-06-30,2025-03-31,2025-06-30,2025-08-14,2025-08-15,Materials,0.04819797,0.01771610,-0.03048187,0,0,0,3,2
2025-03-31->2025-06-30,2025-03-31,2025-06-30,2025-08-14,2025-08-15,Real Estate,0.00890243,0.00001439,-0.00888804,0,0,0,1,1
2025-03-31->2025-06-30,2025-03-31,2025-06-30,2025-08-14,2025-08-15,Technology,0.27846607,0.37505706,0.09659099,0,1,0,0,1
2025-06-30->2025-09-30,2025-06-30,2025-09-30,2025-11-14,2025-11-17,Communication Services,0.37204324,0.41057603,0.03853279,0,1,0,0,2
2025-06-30->2025-09-30,2025-06-30,2025-09-30,2025-11-14,2025-11-17,Consumer Discretionary,0.20714995,0.21749844,0.01034849,1,2,0,0,2
2025-06-30->2025-09-30,2025-06-30,2025-09-30,2025-11-14,2025-11-17,Health Care,0.00622603,0.00351104,-0.00271499,0,1,0,0,2
2025-06-30->2025-09-30,2025-06-30,2025-09-30,2025-11-14,2025-11-17,Industrials,0.02179322,0.00000000,-0.02179322,0,2,0,0,2
2025-06-30->2025-09-30,2025-06-30,2025-09-30,2025-11-14,2025-11-17,Materials,0.01771610,0.00000000,-0.01771610,0,3,0,0,2
2025-06-30->2025-09-30,2025-06-30,2025-09-30,2025-11-14,2025-11-17,Real Estate,0.00001439,0.00000000,-0.00001439,0,1,0,0,1
2025-06-30->2025-09-30,2025-06-30,2025-09-30,2025-11-14,2025-11-17,Technology,0.37505706,0.36841450,-0.00664256,0,0,0,0,1
2025-09-30->2025-12-31,2025-09-30,2025-12-31,2026-02-17,2026-02-18,Communication Services,0.41057603,0.39150730,-0.01906873,0,1,0,0,1
2025-09-30->2025-12-31,2025-09-30,2025-12-31,2026-02-17,2026-02-18,Consumer Discretionary,0.21749844,0.14457174,-0.07292670,0,0,0,0,1
2025-09-30->2025-12-31,2025-09-30,2025-12-31,2026-02-17,2026-02-18,Health Care,0.00351104,0.00423046,0.00071942,0,0,0,0,1
2025-09-30->2025-12-31,2025-09-30,2025-12-31,2026-02-17,2026-02-18,Technology,0.36841450,0.45969051,0.09127601,0,0,0,0,1
2025-12-31->2026-03-31,2025-12-31,2026-03-31,2026-05-15,2026-05-18,Communication Services,0.39150730,0.42126930,0.02976200,0,0,0,0,1
2025-12-31->2026-03-31,2025-12-31,2026-03-31,2026-05-15,2026-05-18,Consumer Discretionary,0.14457174,0.14057241,-0.00399933,0,0,0,0,1
2025-12-31->2026-03-31,2025-12-31,2026-03-31,2026-05-15,2026-05-18,Health Care,0.00423046,0.00174382,-0.00248664,0,0,0,0,1
2025-12-31->2026-03-31,2025-12-31,2026-03-31,2026-05-15,2026-05-18,Technology,0.45969051,0.43641447,-0.02327604,0,0,0,0,1
