as_of_date,public_date,trade_date,sector,industry,holding_count,mapped_holding_count,total_market_value_usd,portfolio_weight_after
2018-12-31,2019-02-13,2019-02-14,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,2754612000.000000,1.00000000
2019-03-31,2019-05-13,2019-05-14,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,2316424000.000000,1.00000000
2019-06-30,2019-08-06,2019-08-07,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,1849596000.000000,0.35379059
2019-06-30,2019-08-06,2019-08-07,TECHNOLOGY,SOFTWARE - APPLICATION,1,1,3378344000.000000,0.64620941
2019-09-30,2019-10-21,2019-10-22,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,1993700000.000000,0.47320877
2019-09-30,2019-10-21,2019-10-22,TECHNOLOGY,SOFTWARE - APPLICATION,1,1,2219451000.000000,0.52679123
2019-12-31,2020-02-04,2020-02-05,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,16378000.000000,0.00750370
2019-12-31,2020-02-04,2020-02-05,TECHNOLOGY,SOFTWARE - APPLICATION,1,1,2166278000.000000,0.99249630
2020-03-31,2020-05-15,2020-05-18,COMMUNICATION SERVICES,ENTERTAINMENT,2,2,911921000.000000,0.09327017
2020-03-31,2020-05-15,2020-05-18,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,1,1,521859000.000000,0.05337510
2020-03-31,2020-05-15,2020-05-18,CONSUMER CYCLICAL,LODGING,1,1,513931000.000000,0.05256424
2020-03-31,2020-05-15,2020-05-18,CONSUMER CYCLICAL,RESTAURANTS,1,1,77573000.000000,0.00793407
2020-03-31,2020-05-15,2020-05-18,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,534885000.000000,0.05470739
2020-03-31,2020-05-15,2020-05-18,ENERGY,OIL & GAS E&P,1,1,408129000.000000,0.04174294
2020-03-31,2020-05-15,2020-05-18,ENERGY,OIL & GAS INTEGRATED,4,4,2014802000.000000,0.20607149
2020-03-31,2020-05-15,2020-05-18,FINANCIAL SERVICES,BANKS - DIVERSIFIED,2,2,1009548000.000000,0.10325534
2020-03-31,2020-05-15,2020-05-18,FINANCIAL SERVICES,INSURANCE - DIVERSIFIED,1,1,78434000.000000,0.00802213
2020-03-31,2020-05-15,2020-05-18,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,1,1,78524000.000000,0.00803134
2020-03-31,2020-05-15,2020-05-18,INDUSTRIALS,AEROSPACE & DEFENSE,1,1,713677000.000000,0.07299401
2020-03-31,2020-05-15,2020-05-18,INDUSTRIALS,RAILROADS,1,1,78841000.000000,0.00806376
2020-03-31,2020-05-15,2020-05-18,TECHNOLOGY,COMMUNICATION EQUIPMENT,1,1,490881000.000000,0.05020671
2020-03-31,2020-05-15,2020-05-18,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,1,1,77651000.000000,0.00794205
2020-03-31,2020-05-15,2020-05-18,TECHNOLOGY,SEMICONDUCTORS,2,2,154381000.000000,0.01578990
2020-03-31,2020-05-15,2020-05-18,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,2112162000.000000,0.21602936
2020-06-30,2020-08-14,2020-08-17,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,557014000.000000,0.05502004
2020-06-30,2020-08-14,2020-08-17,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,868922000.000000,0.08582930
2020-06-30,2020-08-14,2020-08-17,ENERGY,OIL & GAS E&P,1,1,298652000.000000,0.02949988
2020-06-30,2020-08-14,2020-08-17,ENERGY,OIL & GAS INTEGRATED,1,1,859444000.000000,0.08489309
2020-06-30,2020-08-14,2020-08-17,FINANCIAL SERVICES,INSURANCE - DIVERSIFIED,1,1,39054000.000000,0.00385763
2020-06-30,2020-08-14,2020-08-17,INDUSTRIALS,RAILROADS,1,1,91843000.000000,0.00907195
2020-06-30,2020-08-14,2020-08-17,REAL ESTATE,SECTOR ETF - REAL ESTATE,2,2,2792213000.000000,0.27580575
2020-06-30,2020-08-14,2020-08-17,TECHNOLOGY,COMMUNICATION EQUIPMENT,1,1,270754000.000000,0.02674420
2020-06-30,2020-08-14,2020-08-17,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,2484515000.000000,0.24541234
2020-06-30,2020-08-14,2020-08-17,UTILITIES,SECTOR ETF - UTILITIES,1,1,1861428000.000000,0.18386582
2020-09-30,2020-11-16,2020-11-17,BASIC MATERIALS,GOLD,1,1,154577000.000000,0.02192802
2020-09-30,2020-11-16,2020-11-17,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,677011000.000000,0.09603957
2020-09-30,2020-11-16,2020-11-17,CONSUMER CYCLICAL,TRAVEL SERVICES,1,1,771613000.000000,0.10945965
2020-09-30,2020-11-16,2020-11-17,ENERGY,OIL & GAS INTEGRATED,1,1,623428000.000000,0.08843839
2020-09-30,2020-11-16,2020-11-17,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,2863924000.000000,0.40627115
2020-09-30,2020-11-16,2020-11-17,UTILITIES,SECTOR ETF - UTILITIES,1,1,1958739000.000000,0.27786322
2021-03-31,2021-05-17,2021-05-18,BASIC MATERIALS,GOLD,1,1,141366000.000000,0.00915160
2021-03-31,2021-05-17,2021-05-18,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,6029687000.000000,0.39034336
2021-03-31,2021-05-17,2021-05-18,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,1063641000.000000,0.06885684
2021-03-31,2021-05-17,2021-05-18,CONSUMER CYCLICAL,INTERNET RETAIL,1,1,141000000.000000,0.00912791
2021-03-31,2021-05-17,2021-05-18,CONSUMER CYCLICAL,TRAVEL SERVICES,1,1,1349053000.000000,0.08733354
2021-03-31,2021-05-17,2021-05-18,FINANCIAL SERVICES,SHELL COMPANIES,1,1,75675000.000000,0.00489897
2021-03-31,2021-05-17,2021-05-18,HEALTHCARE,HEALTHCARE PLANS,1,1,284438000.000000,0.01841364
2021-03-31,2021-05-17,2021-05-18,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,4249820000.000000,0.27512026
2021-03-31,2021-05-17,2021-05-18,UTILITIES,SECTOR ETF - UTILITIES,1,1,2112456000.000000,0.13675389
2021-06-30,2021-08-16,2021-08-17,BASIC MATERIALS,GOLD,1,1,129263000.000000,0.00811029
2021-06-30,2021-08-16,2021-08-17,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,6656530000.000000,0.41764780
2021-06-30,2021-08-16,2021-08-17,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,1100583000.000000,0.06905341
2021-06-30,2021-08-16,2021-08-17,CONSUMER CYCLICAL,INTERNET RETAIL,1,1,119486000.000000,0.00749686
2021-06-30,2021-08-16,2021-08-17,CONSUMER CYCLICAL,TRAVEL SERVICES,1,1,1339903000.000000,0.08406896
2021-06-30,2021-08-16,2021-08-17,FINANCIAL SERVICES,SHELL COMPANIES,1,1,73650000.000000,0.00462099
2021-06-30,2021-08-16,2021-08-17,HEALTHCARE,HEALTHCARE PLANS,1,1,487900000.000000,0.03061210
2021-06-30,2021-08-16,2021-08-17,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,3945090000.000000,0.24752509
2021-06-30,2021-08-16,2021-08-17,UTILITIES,SECTOR ETF - UTILITIES,1,1,2085737000.000000,0.13086450
2021-09-30,2022-10-11,2022-10-12,BASIC MATERIALS,SPECIALTY CHEMICALS,1,1,354519000.000000,1.00000000
2021-12-31,2022-10-11,2022-10-12,BASIC MATERIALS,SPECIALTY CHEMICALS,1,1,418625000.000000,1.00000000
2022-03-31,2022-12-22,2022-12-23,BASIC MATERIALS,GOLD,1,1,124744000.000000,0.00284328
2022-03-31,2022-12-22,2022-12-23,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,147641000.000000,0.00336517
2022-03-31,2022-12-22,2022-12-23,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,567768000.000000,0.01294111
2022-03-31,2022-12-22,2022-12-23,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,6586366000.000000,0.15012275
2022-03-31,2022-12-22,2022-12-23,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,1478166000.000000,0.03369177
2022-03-31,2022-12-22,2022-12-23,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,2,2,192818000.000000,0.00439489
2022-03-31,2022-12-22,2022-12-23,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,25787414000.000000,0.58777139
2022-03-31,2022-12-22,2022-12-23,CONSUMER CYCLICAL,INTERNET RETAIL,7,7,343735000.000000,0.00783474
2022-03-31,2022-12-22,2022-12-23,CONSUMER CYCLICAL,TRAVEL SERVICES,1,1,1027801000.000000,0.02342662
2022-03-31,2022-12-22,2022-12-23,CONSUMER DEFENSIVE,DISCOUNT STORES,1,1,117682000.000000,0.00268232
2022-03-31,2022-12-22,2022-12-23,FINANCIAL SERVICES,CREDIT SERVICES,2,2,422209000.000000,0.00962339
2022-03-31,2022-12-22,2022-12-23,FINANCIAL SERVICES,SHELL COMPANIES,1,1,74250000.000000,0.00169238
2022-03-31,2022-12-22,2022-12-23,HEALTHCARE,BIOTECHNOLOGY,1,1,59915000.000000,0.00136564
2022-03-31,2022-12-22,2022-12-23,HEALTHCARE,HEALTH INFORMATION SERVICES,1,1,137748000.000000,0.00313968
2022-03-31,2022-12-22,2022-12-23,HEALTHCARE,HEALTHCARE PLANS,1,1,239850000.000000,0.00546689
2022-03-31,2022-12-22,2022-12-23,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,275268000.000000,0.00627417
2022-03-31,2022-12-22,2022-12-23,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,260875000.000000,0.00594611
2022-03-31,2022-12-22,2022-12-23,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,2,2,420594000.000000,0.00958658
2022-03-31,2022-12-22,2022-12-23,REAL ESTATE,REIT - INDUSTRIAL,1,1,131562000.000000,0.00299869
2022-03-31,2022-12-22,2022-12-23,TECHNOLOGY,SOFTWARE - APPLICATION,3,3,3020623000.000000,0.06884893
2022-03-31,2022-12-22,2022-12-23,UTILITIES,SECTOR ETF - UTILITIES,1,1,2456175000.000000,0.05598349
2022-06-30,2022-12-22,2022-12-23,BASIC MATERIALS,COPPER,1,1,377321000.000000,0.00917682
2022-06-30,2022-12-22,2022-12-23,BASIC MATERIALS,GOLD,1,1,77622000.000000,0.00188784
2022-06-30,2022-12-22,2022-12-23,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,137372000.000000,0.00334102
2022-06-30,2022-12-22,2022-12-23,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,993218000.000000,0.02415604
2022-06-30,2022-12-22,2022-12-23,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,6295040000.000000,0.15310157
2022-06-30,2022-12-22,2022-12-23,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,1037631000.000000,0.02523621
2022-06-30,2022-12-22,2022-12-23,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,1011961000.000000,0.02461189
2022-06-30,2022-12-22,2022-12-23,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,17421733000.000000,0.42371369
2022-06-30,2022-12-22,2022-12-23,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,450346000.000000,0.01095286
2022-06-30,2022-12-22,2022-12-23,CONSUMER CYCLICAL,INTERNET RETAIL,7,7,753563000.000000,0.01832739
2022-06-30,2022-12-22,2022-12-23,CONSUMER CYCLICAL,RESTAURANTS,1,1,482273000.000000,0.01172935
2022-06-30,2022-12-22,2022-12-23,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,813059000.000000,0.01977440
2022-06-30,2022-12-22,2022-12-23,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,592887000.000000,0.01441960
2022-06-30,2022-12-22,2022-12-23,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,451721000.000000,0.01098630
2022-06-30,2022-12-22,2022-12-23,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,433667000.000000,0.01054721
2022-06-30,2022-12-22,2022-12-23,FINANCIAL SERVICES,CREDIT SERVICES,2,2,709788000.000000,0.01726274
2022-06-30,2022-12-22,2022-12-23,FINANCIAL SERVICES,SHELL COMPANIES,1,1,73875000.000000,0.00179671
2022-06-30,2022-12-22,2022-12-23,HEALTHCARE,BIOTECHNOLOGY,1,1,51417000.000000,0.00125051
2022-06-30,2022-12-22,2022-12-23,HEALTHCARE,HEALTH INFORMATION SERVICES,1,1,34625000.000000,0.00084211
2022-06-30,2022-12-22,2022-12-23,HEALTHCARE,HEALTHCARE PLANS,1,1,281363000.000000,0.00684303
2022-06-30,2022-12-22,2022-12-23,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,155139000.000000,0.00377313
2022-06-30,2022-12-22,2022-12-23,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,255599000.000000,0.00621642
2022-06-30,2022-12-22,2022-12-23,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,2,2,372030000.000000,0.00904814
2022-06-30,2022-12-22,2022-12-23,REAL ESTATE,REIT - INDUSTRIAL,1,1,95852000.000000,0.00233121
2022-06-30,2022-12-22,2022-12-23,REAL ESTATE,REIT - SPECIALTY,1,1,483831000.000000,0.01176725
2022-06-30,2022-12-22,2022-12-23,TECHNOLOGY,SEMICONDUCTORS,1,1,359567000.000000,0.00874502
2022-06-30,2022-12-22,2022-12-23,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,3633664000.000000,0.08837428
2022-06-30,2022-12-22,2022-12-23,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,473983000.000000,0.01152773
2022-06-30,2022-12-22,2022-12-23,UTILITIES,SECTOR ETF - UTILITIES,1,1,2313344000.000000,0.05626280
2022-06-30,2022-12-22,2022-12-23,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,493266000.000000,0.01199671
2022-09-30,2022-11-14,2022-11-15,BASIC MATERIALS,COPPER,1,1,352433000.000000,0.00958346
2022-09-30,2022-11-14,2022-11-15,BASIC MATERIALS,GOLD,1,1,75686000.000000,0.00205807
2022-09-30,2022-11-14,2022-11-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,138076000.000000,0.00375460
2022-09-30,2022-11-14,2022-11-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,950728000.000000,0.02585246
2022-09-30,2022-11-14,2022-11-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,5912186000.000000,0.16076582
2022-09-30,2022-11-14,2022-11-15,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,955455000.000000,0.02598100
2022-09-30,2022-11-14,2022-11-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,944482000.000000,0.02568262
2022-09-30,2022-11-14,2022-11-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,14183078000.000000,0.38567024
2022-09-30,2022-11-14,2022-11-15,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,453088000.000000,0.01232050
2022-09-30,2022-11-14,2022-11-15,CONSUMER CYCLICAL,INTERNET RETAIL,7,7,753265000.000000,0.02048299
2022-09-30,2022-11-14,2022-11-15,CONSUMER CYCLICAL,RESTAURANTS,1,1,531959000.000000,0.01446518
2022-09-30,2022-11-14,2022-11-15,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,708130000.000000,0.01925567
2022-09-30,2022-11-14,2022-11-15,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,592038000.000000,0.01609886
2022-09-30,2022-11-14,2022-11-15,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,408139000.000000,0.01109823
2022-09-30,2022-11-14,2022-11-15,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,402435000.000000,0.01094313
2022-09-30,2022-11-14,2022-11-15,FINANCIAL SERVICES,CREDIT SERVICES,2,2,803157000.000000,0.02183967
2022-09-30,2022-11-14,2022-11-15,FINANCIAL SERVICES,SHELL COMPANIES,1,1,73951000.000000,0.00201090
2022-09-30,2022-11-14,2022-11-15,HEALTHCARE,BIOTECHNOLOGY,1,1,42830000.000000,0.00116465
2022-09-30,2022-11-14,2022-11-15,HEALTHCARE,HEALTH INFORMATION SERVICES,1,1,16725000.000000,0.00045479
2022-09-30,2022-11-14,2022-11-15,HEALTHCARE,HEALTHCARE PLANS,1,1,146575000.000000,0.00398571
2022-09-30,2022-11-14,2022-11-15,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,178571000.000000,0.00485575
2022-09-30,2022-11-14,2022-11-15,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,167389000.000000,0.00455169
2022-09-30,2022-11-14,2022-11-15,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,366379000.000000,0.00996268
2022-09-30,2022-11-14,2022-11-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,82776000.000000,0.00225087
2022-09-30,2022-11-14,2022-11-15,REAL ESTATE,REIT - SPECIALTY,1,1,406427000.000000,0.01105168
2022-09-30,2022-11-14,2022-11-15,TECHNOLOGY,SEMICONDUCTORS,1,1,297923000.000000,0.00810121
2022-09-30,2022-11-14,2022-11-15,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,3741180000.000000,0.10173122
2022-09-30,2022-11-14,2022-11-15,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,429820000.000000,0.01168779
2022-09-30,2022-11-14,2022-11-15,UTILITIES,SECTOR ETF - UTILITIES,1,1,2160946000.000000,0.05876105
2022-09-30,2022-11-14,2022-11-15,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,499315000.000000,0.01357751
2022-12-31,2023-02-14,2023-02-15,BASIC MATERIALS,COPPER,1,1,490027670.000000,0.01585952
2022-12-31,2023-02-14,2023-02-15,BASIC MATERIALS,GOLD,1,1,96503416.000000,0.00312329
2022-12-31,2023-02-14,2023-02-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,153606917.000000,0.00497142
2022-12-31,2023-02-14,2023-02-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,1221934741.000000,0.03954736
2022-12-31,2023-02-14,2023-02-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,6046884232.000000,0.19570465
2022-12-31,2023-02-14,2023-02-15,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,876294747.000000,0.02836088
2022-12-31,2023-02-14,2023-02-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,866804134.000000,0.02805372
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,7574515044.000000,0.24514573
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,518636119.000000,0.01678542
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,INTERNET RETAIL,7,7,647443277.000000,0.02095421
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,RESTAURANTS,1,1,626279459.000000,0.02026925
2022-12-31,2023-02-14,2023-02-15,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,839915208.000000,0.02718347
2022-12-31,2023-02-14,2023-02-15,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,585244648.000000,0.01894118
2022-12-31,2023-02-14,2023-02-15,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,525585911.000000,0.01701035
2022-12-31,2023-02-14,2023-02-15,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,516426207.000000,0.01671390
2022-12-31,2023-02-14,2023-02-15,FINANCIAL SERVICES,CREDIT SERVICES,2,2,731499394.000000,0.02367464
2022-12-31,2023-02-14,2023-02-15,HEALTHCARE,BIOTECHNOLOGY,1,1,69871639.000000,0.00226136
2022-12-31,2023-02-14,2023-02-15,HEALTHCARE,HEALTH INFORMATION SERVICES,1,1,20457826.000000,0.00066211
2022-12-31,2023-02-14,2023-02-15,HEALTHCARE,HEALTHCARE PLANS,1,1,58937500.000000,0.00190749
2022-12-31,2023-02-14,2023-02-15,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,116659664.000000,0.00377564
2022-12-31,2023-02-14,2023-02-15,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,195270183.000000,0.00631983
2022-12-31,2023-02-14,2023-02-15,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,436194929.000000,0.01411725
2022-12-31,2023-02-14,2023-02-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,91843837.000000,0.00297248
2022-12-31,2023-02-14,2023-02-15,REAL ESTATE,REIT - SPECIALTY,1,1,401050556.000000,0.01297982
2022-12-31,2023-02-14,2023-02-15,TECHNOLOGY,SEMICONDUCTORS,1,1,304552426.000000,0.00985670
2022-12-31,2023-02-14,2023-02-15,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,3585065615.000000,0.11602902
2022-12-31,2023-02-14,2023-02-15,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,442590448.000000,0.01432424
2022-12-31,2023-02-14,2023-02-15,UTILITIES,SECTOR ETF - UTILITIES,1,1,2325548532.000000,0.07526532
2022-12-31,2023-02-14,2023-02-15,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,532365134.000000,0.01722976
2023-03-31,2023-05-15,2023-05-16,BASIC MATERIALS,COPPER,1,1,527553473.000000,0.01485402
2023-03-31,2023-05-15,2023-05-16,BASIC MATERIALS,GOLD,1,1,100376463.000000,0.00282624
2023-03-31,2023-05-15,2023-05-16,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,151850197.000000,0.00427556
2023-03-31,2023-05-15,2023-05-16,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,1205784324.000000,0.03395057
2023-03-31,2023-05-15,2023-05-16,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,7594532080.000000,0.21383481
2023-03-31,2023-05-15,2023-05-16,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,879561690.000000,0.02476531
2023-03-31,2023-05-15,2023-05-16,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,1243755982.000000,0.03501971
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,8916413024.000000,0.25105424
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,484581433.000000,0.01364408
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,INTERNET RETAIL,6,6,755434728.000000,0.02127033
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,RESTAURANTS,1,1,657404033.000000,0.01851014
2023-03-31,2023-05-15,2023-05-16,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,1082165081.000000,0.03046989
2023-03-31,2023-05-15,2023-05-16,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,631563963.000000,0.01778258
2023-03-31,2023-05-15,2023-05-16,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,496281620.000000,0.01397351
2023-03-31,2023-05-15,2023-05-16,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,501830716.000000,0.01412975
2023-03-31,2023-05-15,2023-05-16,FINANCIAL SERVICES,CREDIT SERVICES,2,2,784606187.000000,0.02209170
2023-03-31,2023-05-15,2023-05-16,HEALTHCARE,BIOTECHNOLOGY,1,1,68470648.000000,0.00192789
2023-03-31,2023-05-15,2023-05-16,HEALTHCARE,HEALTH INFORMATION SERVICES,1,1,15426716.000000,0.00043436
