as_of_date,public_date,trade_date,sector,industry,holding_count,mapped_holding_count,total_market_value_usd,portfolio_weight_after
2023-03-31,2023-05-15,2023-05-16,HEALTHCARE,HEALTHCARE PLANS,1,1,54325000.000000,0.00152960
2023-03-31,2023-05-15,2023-05-16,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,3,3,126993402.000000,0.00357568
2023-03-31,2023-05-15,2023-05-16,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,257605567.000000,0.00725325
2023-03-31,2023-05-15,2023-05-16,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,430055903.000000,0.01210883
2023-03-31,2023-05-15,2023-05-16,REAL ESTATE,REIT - INDUSTRIAL,1,1,101653113.000000,0.00286219
2023-03-31,2023-05-15,2023-05-16,REAL ESTATE,REIT - SPECIALTY,1,1,386815211.000000,0.01089133
2023-03-31,2023-05-15,2023-05-16,TECHNOLOGY,SEMICONDUCTORS,1,1,460848901.000000,0.01297585
2023-03-31,2023-05-15,2023-05-16,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,4344231021.000000,0.12231798
2023-03-31,2023-05-15,2023-05-16,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,532060821.000000,0.01498093
2023-03-31,2023-05-15,2023-05-16,UTILITIES,SECTOR ETF - UTILITIES,1,1,2232856456.000000,0.06286924
2023-03-31,2023-05-15,2023-05-16,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,490845748.000000,0.01382046
2023-06-30,2023-08-14,2023-08-15,BASIC MATERIALS,COPPER,1,1,515818600.000000,0.01325082
2023-06-30,2023-08-14,2023-08-15,BASIC MATERIALS,GOLD,1,1,64389403.000000,0.00165409
2023-06-30,2023-08-14,2023-08-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,112538621.000000,0.00289099
2023-06-30,2023-08-14,2023-08-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,1283707925.000000,0.03297705
2023-06-30,2023-08-14,2023-08-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,8093115614.000000,0.20790330
2023-06-30,2023-08-14,2023-08-15,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,1144812365.000000,0.02940898
2023-06-30,2023-08-14,2023-08-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,1556857792.000000,0.03999398
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,9471685053.000000,0.24331724
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,510064978.000000,0.01310301
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,INTERNET RETAIL,6,6,844941867.000000,0.02170563
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,RESTAURANTS,1,1,625395597.000000,0.01606573
2023-06-30,2023-08-14,2023-08-15,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,1533607385.000000,0.03939670
2023-06-30,2023-08-14,2023-08-15,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,682281239.000000,0.01752706
2023-06-30,2023-08-14,2023-08-15,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,512613700.000000,0.01316849
2023-06-30,2023-08-14,2023-08-15,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,560097148.000000,0.01438828
2023-06-30,2023-08-14,2023-08-15,FINANCIAL SERVICES,CREDIT SERVICES,2,2,727036396.000000,0.01867677
2023-06-30,2023-08-14,2023-08-15,HEALTHCARE,BIOTECHNOLOGY,1,1,56643236.000000,0.00145510
2023-06-30,2023-08-14,2023-08-15,HEALTHCARE,HEALTHCARE PLANS,1,1,108137500.000000,0.00277793
2023-06-30,2023-08-14,2023-08-15,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,3,3,107102011.000000,0.00275133
2023-06-30,2023-08-14,2023-08-15,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,279488905.000000,0.00717976
2023-06-30,2023-08-14,2023-08-15,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,441361793.000000,0.01133810
2023-06-30,2023-08-14,2023-08-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,99909604.000000,0.00256657
2023-06-30,2023-08-14,2023-08-15,REAL ESTATE,REIT - SPECIALTY,1,1,367128032.000000,0.00943112
2023-06-30,2023-08-14,2023-08-15,TECHNOLOGY,SEMICONDUCTORS,1,1,535611655.000000,0.01375928
2023-06-30,2023-08-14,2023-08-15,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,5433348556.000000,0.13957679
2023-06-30,2023-08-14,2023-08-15,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,628470316.000000,0.01614472
2023-06-30,2023-08-14,2023-08-15,UTILITIES,SECTOR ETF - UTILITIES,1,1,2158636822.000000,0.05545302
2023-06-30,2023-08-14,2023-08-15,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,472505897.000000,0.01213816
2023-09-30,2023-11-14,2023-11-15,BASIC MATERIALS,COPPER,1,1,480871890.000000,0.01318356
2023-09-30,2023-11-14,2023-11-15,BASIC MATERIALS,GOLD,1,1,61968749.000000,0.00169893
2023-09-30,2023-11-14,2023-11-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,119659080.000000,0.00328057
2023-09-30,2023-11-14,2023-11-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,1228827791.000000,0.03368948
2023-09-30,2023-11-14,2023-11-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,3,3,8138816963.000000,0.22313339
2023-09-30,2023-11-14,2023-11-15,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,1043411468.000000,0.02860612
2023-09-30,2023-11-14,2023-11-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,1668043946.000000,0.04573101
2023-09-30,2023-11-14,2023-11-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,7684574666.000000,0.21067991
2023-09-30,2023-11-14,2023-11-15,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,496140979.000000,0.01360218
2023-09-30,2023-11-14,2023-11-15,CONSUMER CYCLICAL,INTERNET RETAIL,6,6,897081029.000000,0.02459433
2023-09-30,2023-11-14,2023-11-15,CONSUMER CYCLICAL,LUXURY GOODS,1,1,30100149.000000,0.00082522
2023-09-30,2023-11-14,2023-11-15,CONSUMER CYCLICAL,RESTAURANTS,1,1,576214982.000000,0.01579748
2023-09-30,2023-11-14,2023-11-15,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,1355755783.000000,0.03716933
2023-09-30,2023-11-14,2023-11-15,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,712006580.000000,0.01952034
2023-09-30,2023-11-14,2023-11-15,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,479497108.000000,0.01314587
2023-09-30,2023-11-14,2023-11-15,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,558479706.000000,0.01531125
2023-09-30,2023-11-14,2023-11-15,FINANCIAL SERVICES,CREDIT SERVICES,2,2,657903400.000000,0.01803705
2023-09-30,2023-11-14,2023-11-15,HEALTHCARE,BIOTECHNOLOGY,1,1,63743230.000000,0.00174758
2023-09-30,2023-11-14,2023-11-15,HEALTHCARE,HEALTHCARE PLANS,1,1,86100000.000000,0.00236051
2023-09-30,2023-11-14,2023-11-15,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,3,3,83118635.000000,0.00227878
2023-09-30,2023-11-14,2023-11-15,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,190359061.000000,0.00521887
2023-09-30,2023-11-14,2023-11-15,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,411296766.000000,0.01127609
2023-09-30,2023-11-14,2023-11-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,129514129.000000,0.00355075
2023-09-30,2023-11-14,2023-11-15,REAL ESTATE,REIT - SPECIALTY,1,1,311303521.000000,0.00853468
2023-09-30,2023-11-14,2023-11-15,TECHNOLOGY,SEMICONDUCTORS,1,1,483465809.000000,0.01325467
2023-09-30,2023-11-14,2023-11-15,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,5635425542.000000,0.15450054
2023-09-30,2023-11-14,2023-11-15,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,582720098.000000,0.01597582
2023-09-30,2023-11-14,2023-11-15,UTILITIES,SECTOR ETF - UTILITIES,1,1,1943894681.000000,0.05329372
2023-09-30,2023-11-14,2023-11-15,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,364822949.000000,0.01000197
2023-12-31,2024-02-14,2024-02-15,BASIC MATERIALS,COPPER,1,1,548959945.000000,0.01557768
2023-12-31,2024-02-14,2024-02-15,BASIC MATERIALS,GOLD,1,1,60354979.000000,0.00171268
2023-12-31,2024-02-14,2024-02-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,132426121.000000,0.00375782
2023-12-31,2024-02-14,2024-02-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,1248797730.000000,0.03543678
2023-12-31,2024-02-14,2024-02-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,2,2,5231165923.000000,0.14844332
2023-12-31,2024-02-14,2024-02-15,COMMUNICATION SERVICES,ENTERTAINMENT,1,1,1176099631.000000,0.03337385
2023-12-31,2024-02-14,2024-02-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,3,3,1929610556.000000,0.05475601
2023-12-31,2024-02-14,2024-02-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,5787488255.000000,0.16422992
2023-12-31,2024-02-14,2024-02-15,CONSUMER CYCLICAL,HOME IMPROVEMENT RETAIL,1,1,569028516.000000,0.01614716
2023-12-31,2024-02-14,2024-02-15,CONSUMER CYCLICAL,INTERNET RETAIL,6,6,1060212806.000000,0.03008536
2023-12-31,2024-02-14,2024-02-15,CONSUMER CYCLICAL,LUXURY GOODS,1,1,25786499.000000,0.00073174
2023-12-31,2024-02-14,2024-02-15,CONSUMER CYCLICAL,RESTAURANTS,1,1,606140029.000000,0.01720026
2023-12-31,2024-02-14,2024-02-15,CONSUMER CYCLICAL,TRAVEL SERVICES,2,2,1699658799.000000,0.04823074
2023-12-31,2024-02-14,2024-02-15,CONSUMER DEFENSIVE,DISCOUNT STORES,2,2,808803949.000000,0.02295120
2023-12-31,2024-02-14,2024-02-15,FINANCIAL SERVICES,ASSET MANAGEMENT,1,1,602106377.000000,0.01708580
2023-12-31,2024-02-14,2024-02-15,FINANCIAL SERVICES,BANKS - DIVERSIFIED,1,1,655064115.000000,0.01858857
2023-12-31,2024-02-14,2024-02-15,FINANCIAL SERVICES,CREDIT SERVICES,2,2,708990224.000000,0.02011882
2023-12-31,2024-02-14,2024-02-15,HEALTHCARE,BIOTECHNOLOGY,1,1,63916879.000000,0.00181375
2023-12-31,2024-02-14,2024-02-15,HEALTHCARE,HEALTHCARE PLANS,1,1,73800000.000000,0.00209420
2023-12-31,2024-02-14,2024-02-15,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,41875312.000000,0.00118828
2023-12-31,2024-02-14,2024-02-15,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,159981770.000000,0.00453976
2023-12-31,2024-02-14,2024-02-15,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,431298111.000000,0.01223882
2023-12-31,2024-02-14,2024-02-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,153856460.000000,0.00436594
2023-12-31,2024-02-14,2024-02-15,REAL ESTATE,REIT - SPECIALTY,1,1,408660408.000000,0.01159644
2023-12-31,2024-02-14,2024-02-15,TECHNOLOGY,SEMICONDUCTORS,1,1,693130665.000000,0.01966877
2023-12-31,2024-02-14,2024-02-15,TECHNOLOGY,SOFTWARE - APPLICATION,7,7,7193129821.000000,0.20411741
2023-12-31,2024-02-14,2024-02-15,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,1,1,693985956.000000,0.01969304
2023-12-31,2024-02-14,2024-02-15,UTILITIES,SECTOR ETF - UTILITIES,1,1,2089035298.000000,0.05927996
2023-12-31,2024-02-14,2024-02-15,UTILITIES,UTILITIES - REGULATED ELECTRIC,1,1,386792563.000000,0.01097590
2024-03-31,2024-05-15,2024-05-16,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,146241252.000000,0.00812847
2024-03-31,2024-05-15,2024-05-16,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,765446625.000000,0.04254554
2024-03-31,2024-05-15,2024-05-16,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,2,2,4986234171.000000,0.27714804
2024-03-31,2024-05-15,2024-05-16,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,2,2,551136644.000000,0.03063363
2024-03-31,2024-05-15,2024-05-16,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,3917895849.000000,0.21776698
2024-03-31,2024-05-15,2024-05-16,CONSUMER CYCLICAL,INTERNET RETAIL,3,3,359311065.000000,0.01997146
2024-03-31,2024-05-15,2024-05-16,CONSUMER CYCLICAL,LUXURY GOODS,1,1,43159984.000000,0.00239895
2024-03-31,2024-05-15,2024-05-16,CONSUMER DEFENSIVE,DISCOUNT STORES,1,1,114655800.000000,0.00637287
2024-03-31,2024-05-15,2024-05-16,FINANCIAL SERVICES,BANKS - REGIONAL,1,1,14041371.000000,0.00078046
2024-03-31,2024-05-15,2024-05-16,FINANCIAL SERVICES,CREDIT SERVICES,2,2,371456273.000000,0.02064652
2024-03-31,2024-05-15,2024-05-16,HEALTHCARE,BIOTECHNOLOGY,1,1,55422270.000000,0.00308052
2024-03-31,2024-05-15,2024-05-16,HEALTHCARE,HEALTHCARE PLANS,1,1,41574000.000000,0.00231079
2024-03-31,2024-05-15,2024-05-16,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,56203536.000000,0.00312394
2024-03-31,2024-05-15,2024-05-16,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,183235632.000000,0.01018472
2024-03-31,2024-05-15,2024-05-16,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,530458690.000000,0.02948429
2024-03-31,2024-05-15,2024-05-16,REAL ESTATE,REIT - INDUSTRIAL,1,1,150301487.000000,0.00835415
2024-03-31,2024-05-15,2024-05-16,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,5704455752.000000,0.31706868
2024-06-30,2024-09-30,2024-10-01,CONSUMER CYCLICAL,INTERNET RETAIL,1,1,65929363.000000,1.00000000
2024-09-30,2024-11-14,2024-11-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,144610163.000000,0.00743210
2024-09-30,2024-11-14,2024-11-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,827391019.000000,0.04252297
2024-09-30,2024-11-14,2024-11-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,2,2,5313000229.000000,0.27305658
2024-09-30,2024-11-14,2024-11-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,2,2,602690129.000000,0.03097468
2024-09-30,2024-11-14,2024-11-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,4852692052.000000,0.24939948
2024-09-30,2024-11-14,2024-11-15,CONSUMER CYCLICAL,INTERNET RETAIL,4,4,542676458.000000,0.02789034
2024-09-30,2024-11-14,2024-11-15,CONSUMER CYCLICAL,LUXURY GOODS,1,1,36508329.000000,0.00187631
2024-09-30,2024-11-14,2024-11-15,CONSUMER DEFENSIVE,DISCOUNT STORES,1,1,153871628.000000,0.00790809
2024-09-30,2024-11-14,2024-11-15,FINANCIAL SERVICES,BANKS - REGIONAL,1,1,51903852.000000,0.00266755
2024-09-30,2024-11-14,2024-11-15,FINANCIAL SERVICES,CREDIT SERVICES,2,2,357864384.000000,0.01839210
2024-09-30,2024-11-14,2024-11-15,HEALTHCARE,BIOTECHNOLOGY,1,1,79562976.000000,0.00408906
2024-09-30,2024-11-14,2024-11-15,HEALTHCARE,HEALTHCARE PLANS,1,1,9788750.000000,0.00050308
2024-09-30,2024-11-14,2024-11-15,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,47082543.000000,0.00241976
2024-09-30,2024-11-14,2024-11-15,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,136337524.000000,0.00700694
2024-09-30,2024-11-14,2024-11-15,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,530686953.000000,0.02727415
2024-09-30,2024-11-14,2024-11-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,195969512.000000,0.01007167
2024-09-30,2024-11-14,2024-11-15,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,5574870062.000000,0.28651513
2024-12-31,2025-02-14,2025-02-18,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,122580629.000000,0.00636934
2024-12-31,2025-02-14,2025-02-18,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,750579205.000000,0.03900043
2024-12-31,2025-02-14,2025-02-18,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,2,2,5730614746.000000,0.29776532
2024-12-31,2025-02-14,2025-02-18,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,2,2,593718609.000000,0.03084989
2024-12-31,2025-02-14,2025-02-18,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,5348083826.000000,0.27788884
2024-12-31,2025-02-14,2025-02-18,CONSUMER CYCLICAL,INTERNET RETAIL,5,5,647389973.000000,0.03363867
2024-12-31,2025-02-14,2025-02-18,CONSUMER CYCLICAL,LUXURY GOODS,1,1,48191516.000000,0.00250405
2024-12-31,2025-02-14,2025-02-18,FINANCIAL SERVICES,BANKS - REGIONAL,1,1,70715247.000000,0.00367440
2024-12-31,2025-02-14,2025-02-18,FINANCIAL SERVICES,CREDIT SERVICES,2,2,362908766.000000,0.01885690
2024-12-31,2025-02-14,2025-02-18,HEALTHCARE,BIOTECHNOLOGY,1,1,65458453.000000,0.00340125
2024-12-31,2025-02-14,2025-02-18,HEALTHCARE,HEALTHCARE PLANS,1,1,18936875.000000,0.00098397
2024-12-31,2025-02-14,2025-02-18,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,2,2,84044664.000000,0.00436700
2024-12-31,2025-02-14,2025-02-18,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,140148478.000000,0.00728218
2024-12-31,2025-02-14,2025-02-18,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,571350171.000000,0.02968761
2024-12-31,2025-02-14,2025-02-18,REAL ESTATE,REIT - INDUSTRIAL,1,1,164032131.000000,0.00852318
2024-12-31,2025-02-14,2025-02-18,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,4526653933.000000,0.23520697
2025-03-31,2025-05-15,2025-05-16,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,116580316.000000,0.00598242
2025-03-31,2025-05-15,2025-05-16,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,822660995.000000,0.04221555
2025-03-31,2025-05-15,2025-05-16,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,2,2,5950934763.000000,0.30537728
2025-03-31,2025-05-15,2025-05-16,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,2,2,512967603.000000,0.02632337
2025-03-31,2025-05-15,2025-05-16,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,4285550615.000000,0.21991667
2025-03-31,2025-05-15,2025-05-16,CONSUMER CYCLICAL,INTERNET RETAIL,5,5,901844881.000000,0.04627894
2025-03-31,2025-05-15,2025-05-16,CONSUMER CYCLICAL,LUXURY GOODS,1,1,43173998.000000,0.00221551
2025-03-31,2025-05-15,2025-05-16,FINANCIAL SERVICES,BANKS - REGIONAL,1,1,69896151.000000,0.00358678
2025-03-31,2025-05-15,2025-05-16,FINANCIAL SERVICES,CREDIT SERVICES,2,2,350719267.000000,0.01799746
2025-03-31,2025-05-15,2025-05-16,HEALTHCARE,BIOTECHNOLOGY,1,1,96452965.000000,0.00494957
2025-03-31,2025-05-15,2025-05-16,HEALTHCARE,HEALTHCARE PLANS,1,1,26432188.000000,0.00135639
2025-03-31,2025-05-15,2025-05-16,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,1,1,74782118.000000,0.00383751
2025-03-31,2025-05-15,2025-05-16,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,1,1,121442420.000000,0.00623192
2025-03-31,2025-05-15,2025-05-16,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,513723458.000000,0.02636216
2025-03-31,2025-05-15,2025-05-16,REAL ESTATE,REIT - INDUSTRIAL,1,1,173482988.000000,0.00890243
2025-03-31,2025-05-15,2025-05-16,TECHNOLOGY,SOFTWARE - APPLICATION,2,2,5426511817.000000,0.27846607
2025-06-30,2025-08-14,2025-08-15,BASIC MATERIALS,PACKAGING & CONTAINERS,1,1,40649731.000000,0.00224337
2025-06-30,2025-08-14,2025-08-15,BASIC MATERIALS,SPECIALTY CHEMICALS,2,2,280365313.000000,0.01547273
2025-06-30,2025-08-14,2025-08-15,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,2,2,6733881778.000000,0.37162766
2025-06-30,2025-08-14,2025-08-15,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,1,1,7530313.000000,0.00041558
2025-06-30,2025-08-14,2025-08-15,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,3736575123.000000,0.20621310
2025-06-30,2025-08-14,2025-08-15,CONSUMER CYCLICAL,INTERNET RETAIL,1,1,16975747.000000,0.00093685
2025-06-30,2025-08-14,2025-08-15,HEALTHCARE,BIOTECHNOLOGY,1,1,54992736.000000,0.00303492
2025-06-30,2025-08-14,2025-08-15,HEALTHCARE,HEALTHCARE PLANS,1,1,57822813.000000,0.00319111
2025-06-30,2025-08-14,2025-08-15,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,1,1,36090663.000000,0.00199176
2025-06-30,2025-08-14,2025-08-15,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,1,1,358801795.000000,0.01980146
2025-06-30,2025-08-14,2025-08-15,REAL ESTATE,REIT - INDUSTRIAL,1,1,260803.000000,0.00001439
2025-06-30,2025-08-14,2025-08-15,TECHNOLOGY,SOFTWARE - APPLICATION,1,1,6796022475.000000,0.37505706
2025-09-30,2025-11-14,2025-11-17,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,2,2,7952856609.000000,0.41057603
2025-09-30,2025-11-14,2025-11-17,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,4212944146.000000,0.21749844
2025-09-30,2025-11-14,2025-11-17,HEALTHCARE,HEALTHCARE PLANS,1,1,68008750.000000,0.00351104
2025-09-30,2025-11-14,2025-11-17,TECHNOLOGY,SOFTWARE - APPLICATION,1,1,7136187802.000000,0.36841450
2025-12-31,2026-02-17,2026-02-18,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,1,1,5069004746.000000,0.39150730
2025-12-31,2026-02-17,2026-02-18,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,1871829324.000000,0.14457174
2025-12-31,2026-02-17,2026-02-18,HEALTHCARE,HEALTHCARE PLANS,1,1,54773438.000000,0.00423046
2025-12-31,2026-02-17,2026-02-18,TECHNOLOGY,SOFTWARE - APPLICATION,1,1,5951800605.000000,0.45969051
2026-03-31,2026-05-15,2026-05-18,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,1,1,5057593097.000000,0.42126930
2026-03-31,2026-05-15,2026-05-18,CONSUMER CYCLICAL,AUTO MANUFACTURERS,1,1,1687656903.000000,0.14057241
2026-03-31,2026-05-15,2026-05-18,HEALTHCARE,HEALTHCARE PLANS,1,1,20935625.000000,0.00174382
2026-03-31,2026-05-15,2026-05-18,TECHNOLOGY,SOFTWARE - APPLICATION,1,1,5239420114.000000,0.43641447
